participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P5,2,Ex 2 (Cat / /ae/),A,animal,somewhere_where,2,1,527.72,0.001946,0.2845,26.14,391.95,104.62,22.1427,7.2253
P5,2,Ex 2 (Cat / /ae/),A,animal,baseline_some,-1,1,258.41,0.003469,0.1695,23.17,289.35,96.78,22.0908,12.738
P5,2,Ex 2 (Cat / /ae/),A,animal,baseline_where,-1,1,524.9,0.002652,0.2025,26.88,370.32,102.83,21.4571,
P5,2,Ex 2 (Cat / /ae/),B,human,mimic,0,6,390.125,0.0058315,0.3034833333333333,14.725,613.15,94.665,20.96145,0.2588
P5,2,Ex 2 (Cat / /ae/),B,human,exercise,1,4,417.885,0.004032,0.2392,19.02,526.7625,103.755,24.308950000000003,-0.6734500000000001
P5,2,Ex 2 (Cat / /ae/),B,human,somewhere_some,2,1,263.67,0.002657,0.1824,22.07,496.36,100.63,28.6243,0.9492
P5,2,Ex 2 (Cat / /ae/),B,human,somewhere_where,2,1,,,,,,,25.8724,4.7914
P5,2,Ex 2 (Cat / /ae/),B,human,baseline_some,-1,1,258.08,0.00247,0.1033,25.09,375.43,95.01,25.7366,9.4155
P5,2,Ex 2 (Cat / /ae/),B,human,baseline_where,-1,1,528.16,0.002704,0.2401,27.14,454.98,100.17,23.8488,5.5051
P5,3,Ex 3 (Cow / /a/),A,animal,mimic,0,4,280.61,0.0057540000000000004,0.19865,19.6725,338.6225,87.475,19.41895,-0.0628249999999998
P5,3,Ex 3 (Cow / /a/),A,animal,exercise,1,5,417.476,0.014664199999999999,0.5730000000000001,24.992,126.96799999999999,96.444,21.703120000000002,19.153699999999997
P5,3,Ex 3 (Cow / /a/),A,animal,somewhere_some,2,1,259.52,0.002218,0.1371,25.25,336.26,97.09,24.292,6.6747
P5,3,Ex 3 (Cow / /a/),A,animal,somewhere_where,2,1,516.84,0.002621,0.1468,27.72,355.08,102.38,22.1227,
P5,3,Ex 3 (Cow / /a/),A,animal,baseline_some,-1,1,258.41,0.003469,0.1695,23.17,289.35,96.78,22.0908,12.738
P5,3,Ex 3 (Cow / /a/),A,animal,baseline_where,-1,1,524.9,0.002652,0.2025,26.88,370.32,102.83,21.4571,
P5,3,Ex 3 (Cow / /a/),B,human,mimic,0,4,635.8199999999999,0.01763425,0.6081000000000001,13.722500000000002,145.87,87.4275,19.0863,16.210224999999998
P5,3,Ex 3 (Cow / /a/),B,human,exercise,1,5,522.762,0.029164799999999998,1.18574,10.488,235.71800000000002,89.286,22.27914,8.04966
P5,3,Ex 3 (Cow / /a/),B,human,somewhere_some,2,1,257.48,0.002649,0.1629,22.88,494.49,96.94,27.1414,0.9896
P5,3,Ex 3 (Cow / /a/),B,human,somewhere_where,2,1,515.87,0.003565,0.2711,23.11,507.74,105.87,24.1406,2.2807
P5,3,Ex 3 (Cow / /a/),B,human,baseline_some,-1,1,258.08,0.00247,0.1033,25.09,375.43,95.01,25.7366,9.4155
